epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4515,1.16674,3.47334,1.51846,0.91401,0.06475,0.29538,0.21457,0.98619,3.19131,1.16463,0.000252869,0.000252869,0.000252869
2,38.1012,1.17584,2.4459,1.50194,0.54303,0.35576,0.39682,0.29499,0.93232,2.32682,1.16629,0.000506237,0.000506237,0.000506237
3,51.6569,1.19939,2.07051,1.48051,0.53282,0.5989,0.55162,0.34806,1.16099,2.27105,1.25724,0.00075662,0.00075662,0.00075662
4,64.9601,1.1797,1.85821,1.43235,0.51111,0.66253,0.64403,0.42444,1.20893,1.96389,1.34077,0.000755565,0.000755565,0.000755565
5,78.2169,1.16292,1.66743,1.42464,0.47777,0.48585,0.52113,0.31437,1.36156,2.57818,1.3972,0.000751087,0.000751087,0.000751087
6,91.5222,1.13475,1.59301,1.4072,0.53518,0.51231,0.55409,0.35814,1.1759,2.49196,1.29944,0.000746609,0.000746609,0.000746609
7,104.863,1.12764,1.49554,1.3937,0.51369,0.53676,0.54932,0.37605,1.194,1.96227,1.30375,0.00074213,0.00074213,0.00074213
8,118.289,1.13771,1.43177,1.39369,0.6021,0.70371,0.79456,0.51034,1.288,1.74374,1.27957,0.000737652,0.000737652,0.000737652
9,131.526,1.11626,1.34326,1.37643,0.70148,0.68855,0.7355,0.45943,1.42201,2.03839,1.45438,0.000733174,0.000733174,0.000733174
10,144.894,1.10276,1.28069,1.36912,0.61012,0.66634,0.70369,0.44612,1.32369,1.79828,1.3159,0.000728695,0.000728695,0.000728695
11,158.157,1.10221,1.26045,1.35738,0.56443,0.76206,0.77734,0.54378,1.00616,1.40666,1.16673,0.000724217,0.000724217,0.000724217
12,171.483,1.06493,1.21115,1.34091,0.62379,0.69698,0.77179,0.51276,1.22117,1.59621,1.26892,0.000719739,0.000719739,0.000719739
13,184.788,1.07124,1.17037,1.3284,0.57465,0.52539,0.62142,0.40903,1.37362,2.53076,1.33383,0.00071526,0.00071526,0.00071526
14,198.208,1.04274,1.10786,1.31067,0.60868,0.53317,0.60339,0.38861,1.38873,2.36008,1.36201,0.000710782,0.000710782,0.000710782
15,211.619,1.05756,1.09879,1.33015,0.64095,0.71787,0.7773,0.51839,1.14038,1.65688,1.19588,0.000706304,0.000706304,0.000706304
16,225.029,1.04313,1.08139,1.31164,0.61307,0.71779,0.78956,0.52805,1.21769,1.77331,1.25912,0.000701826,0.000701826,0.000701826
17,238.661,1.02733,1.06341,1.3036,0.68382,0.78477,0.82284,0.5685,1.00608,1.30975,1.13119,0.000697347,0.000697347,0.000697347
18,252.223,1.02706,1.02676,1.29228,0.71581,0.74638,0.82963,0.55945,1.16381,1.73161,1.25224,0.000692869,0.000692869,0.000692869
19,265.965,1.00331,0.98079,1.29089,0.64971,0.78518,0.76868,0.50622,1.13185,1.57167,1.2219,0.000688391,0.000688391,0.000688391
20,279.452,0.9952,0.99689,1.27205,0.68605,0.6773,0.8238,0.55327,1.15253,1.61877,1.24503,0.000683912,0.000683912,0.000683912
21,293.08,0.96182,0.94253,1.26203,0.69061,0.73296,0.79695,0.55919,1.04144,1.74655,1.16784,0.000679434,0.000679434,0.000679434
22,306.676,1.00961,0.98129,1.28459,0.71742,0.70291,0.78482,0.56423,1.06955,1.68963,1.18558,0.000674956,0.000674956,0.000674956
23,320.041,0.97061,0.95586,1.25454,0.58741,0.81506,0.83731,0.58656,1.01026,1.34995,1.20114,0.000670478,0.000670478,0.000670478
24,333.402,0.97926,0.93544,1.26586,0.69642,0.76814,0.85422,0.55809,1.13399,1.45377,1.19332,0.000665999,0.000665999,0.000665999
25,346.832,0.96491,0.93601,1.25768,0.6684,0.72444,0.75142,0.51307,1.17229,1.89303,1.21462,0.000661521,0.000661521,0.000661521
26,360.25,0.95304,0.89176,1.2408,0.67634,0.82811,0.84071,0.57691,1.09216,1.38255,1.19692,0.000657043,0.000657043,0.000657043
27,373.708,0.94316,0.88285,1.2344,0.68787,0.7219,0.81466,0.53182,1.13146,1.63388,1.22234,0.000652564,0.000652564,0.000652564
28,387.529,0.94602,0.88069,1.23697,0.71985,0.80243,0.84825,0.59279,1.02332,1.44412,1.15727,0.000648086,0.000648086,0.000648086
29,401.798,0.92216,0.86476,1.22423,0.71962,0.72208,0.79318,0.5608,1.03318,1.71659,1.18319,0.000643608,0.000643608,0.000643608
30,416.831,0.93092,0.85599,1.23285,0.79436,0.78934,0.8715,0.60985,1.00568,1.34712,1.14365,0.000639129,0.000639129,0.000639129
31,430.545,0.92891,0.85782,1.22678,0.64995,0.78007,0.78762,0.5753,0.91313,1.63706,1.1249,0.000634651,0.000634651,0.000634651
32,444.049,0.9119,0.8305,1.21163,0.70792,0.79663,0.81527,0.59504,0.9377,1.36644,1.0991,0.000630173,0.000630173,0.000630173
33,457.51,0.90587,0.82273,1.21589,0.73719,0.72889,0.85032,0.59768,1.04461,1.58853,1.16715,0.000625695,0.000625695,0.000625695
34,470.936,0.9096,0.81788,1.21681,0.746,0.84608,0.88109,0.63736,0.96075,1.26482,1.13281,0.000621216,0.000621216,0.000621216
35,484.435,0.89041,0.81465,1.20076,0.73601,0.78256,0.85368,0.62851,0.90155,1.37213,1.13457,0.000616738,0.000616738,0.000616738
36,497.82,0.8972,0.81468,1.20403,0.71858,0.74486,0.7642,0.55158,1.02086,1.79514,1.15277,0.00061226,0.00061226,0.00061226
37,511.285,0.88386,0.79374,1.19921,0.66169,0.76644,0.84188,0.60873,1.00218,1.61053,1.14431,0.000607781,0.000607781,0.000607781
38,524.764,0.88878,0.77784,1.20404,0.71471,0.76226,0.85842,0.61628,1.04599,1.60792,1.15289,0.000603303,0.000603303,0.000603303
39,538.2,0.8732,0.76031,1.19161,0.77096,0.79528,0.85726,0.62785,0.94409,1.60071,1.11958,0.000598825,0.000598825,0.000598825
40,551.703,0.8742,0.76209,1.19071,0.83257,0.69703,0.87078,0.63267,1.05985,1.3577,1.14614,0.000594347,0.000594347,0.000594347
