epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3916,1.23529,2.61534,1.52334,0.52765,0.66598,0.56996,0.37936,1.04827,1.58912,1.14311,0.000252869,0.000252869,0.000252869
2,51.2072,1.17417,1.58589,1.40504,0.38348,0.62273,0.50833,0.37337,1.0766,1.7215,1.29135,0.000506237,0.000506237,0.000506237
3,74.1447,1.244,1.54551,1.45524,0.3971,0.73477,0.53917,0.31939,1.2158,2.09923,1.29091,0.00075662,0.00075662,0.00075662
4,96.998,1.2297,1.4904,1.43691,0.55952,0.47916,0.50786,0.33988,1.127,1.94126,1.29693,0.000755565,0.000755565,0.000755565
5,120.056,1.1856,1.35975,1.4197,0.52017,0.6145,0.6272,0.39633,1.23583,2.06491,1.26335,0.000751087,0.000751087,0.000751087
6,143.141,1.1868,1.32812,1.42329,0.59467,0.62033,0.62663,0.40277,1.20612,1.75377,1.28575,0.000746609,0.000746609,0.000746609
7,166.065,1.17923,1.2937,1.40526,0.60233,0.62946,0.68435,0.44651,1.15905,1.5727,1.24787,0.00074213,0.00074213,0.00074213
8,188.828,1.16659,1.25205,1.39503,0.59824,0.76863,0.7604,0.52511,1.0696,1.31276,1.20793,0.000737652,0.000737652,0.000737652
9,211.164,1.13485,1.19386,1.3739,0.73181,0.70177,0.78541,0.55288,1.02353,1.31753,1.18564,0.000733174,0.000733174,0.000733174
10,234.346,1.12107,1.14877,1.36828,0.67511,0.67032,0.72191,0.47011,1.17801,1.62573,1.2184,0.000728695,0.000728695,0.000728695
11,258.641,1.12138,1.13435,1.35274,0.54316,0.79442,0.78151,0.56052,0.98097,1.36645,1.17102,0.000724217,0.000724217,0.000724217
12,282.843,1.10076,1.09924,1.35046,0.64649,0.60081,0.66923,0.4196,1.18764,1.72031,1.24324,0.000719739,0.000719739,0.000719739
13,306.262,1.07855,1.09735,1.32232,0.68847,0.76623,0.78296,0.52919,1.12861,1.6635,1.19643,0.00071526,0.00071526,0.00071526
14,328.654,1.05822,1.04543,1.30196,0.65431,0.77348,0.81085,0.52314,1.24356,1.59194,1.27258,0.000710782,0.000710782,0.000710782
15,351.314,1.08267,1.05353,1.32776,0.70361,0.77957,0.80975,0.54855,1.12191,1.49774,1.16294,0.000706304,0.000706304,0.000706304
16,374.039,1.06638,1.00609,1.31388,0.58513,0.66683,0.70336,0.47581,1.16146,1.90092,1.27768,0.000701826,0.000701826,0.000701826
