epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.355,1.16674,3.47334,1.51846,0.91401,0.06475,0.29538,0.21457,0.98619,3.19131,1.16463,0.000252869,0.000252869,0.000252869
2,42.4311,1.17036,2.43482,1.49791,0.4877,0.34492,0.39491,0.26079,1.03741,2.62385,1.25626,0.000506682,0.000506682,0.000506682
3,57.3542,1.20432,2.05836,1.48237,0.43255,0.37959,0.29062,0.17353,1.53304,3.906,1.75596,0.000757957,0.000757957,0.000757957
4,71.9225,1.1769,1.84339,1.43424,0.58162,0.52577,0.5432,0.35547,1.19506,2.38534,1.32241,0.00075758,0.00075758,0.00075758
5,86.5507,1.15845,1.6839,1.4216,0.44614,0.5887,0.5353,0.3447,1.12421,2.3113,1.24314,0.000753774,0.000753774,0.000753774
6,101.074,1.13975,1.59336,1.41819,0.60955,0.45652,0.55497,0.36644,1.1523,2.26463,1.24822,0.000749967,0.000749967,0.000749967
7,115.675,1.14467,1.48967,1.40814,0.76182,0.51898,0.72099,0.48543,1.1129,1.89021,1.2494,0.000746161,0.000746161,0.000746161
8,130.23,1.13409,1.45291,1.39119,0.49303,0.68032,0.66291,0.43667,1.17175,1.9459,1.24095,0.000742354,0.000742354,0.000742354
9,144.604,1.10266,1.32735,1.36595,0.73366,0.7833,0.79567,0.52598,1.11207,1.46433,1.20498,0.000738548,0.000738548,0.000738548
10,158.987,1.10356,1.28575,1.37692,0.54096,0.51277,0.56931,0.35104,1.34638,2.19858,1.33542,0.000734741,0.000734741,0.000734741
11,173.555,1.08368,1.25349,1.34814,0.7302,0.64338,0.77184,0.54947,0.99189,1.42454,1.19687,0.000730935,0.000730935,0.000730935
12,188.06,1.07395,1.21367,1.34558,0.63235,0.69253,0.74386,0.49533,1.19096,1.56787,1.25065,0.000727128,0.000727128,0.000727128
13,202.538,1.05647,1.1655,1.32474,0.67679,0.65617,0.73528,0.48661,1.22739,1.9637,1.25661,0.000723321,0.000723321,0.000723321
14,217.153,1.04076,1.09877,1.30716,0.59261,0.58882,0.71588,0.46853,1.34928,2.18351,1.34817,0.000719515,0.000719515,0.000719515
15,231.652,1.0598,1.11675,1.33075,0.63685,0.74962,0.77748,0.53473,1.10478,1.48417,1.2217,0.000715708,0.000715708,0.000715708
