epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2856,1.17311,3.21956,1.51261,0.4476,0.16387,0.30284,0.21432,0.9806,3.12079,1.19584,0.000252869,0.000252869,0.000252869
2,35.6761,1.15118,2.18141,1.447,0.47986,0.52473,0.60555,0.41624,1.04802,2.01573,1.24567,0.000506682,0.000506682,0.000506682
3,49.7141,1.18233,1.94073,1.43637,0.65117,0.53685,0.62329,0.42058,1.04672,2.00052,1.24359,0.000757957,0.000757957,0.000757957
4,63.3694,1.1575,1.76563,1.40602,0.65697,0.61272,0.72064,0.46046,1.11959,1.78628,1.32769,0.00075758,0.00075758,0.00075758
5,76.9943,1.14103,1.57803,1.38934,0.55129,0.65063,0.66822,0.41701,1.20134,2.02041,1.31171,0.000753774,0.000753774,0.000753774
6,90.2912,1.11891,1.51737,1.38642,0.59834,0.70266,0.68694,0.4732,1.02056,1.54012,1.17408,0.000749967,0.000749967,0.000749967
7,103.336,1.11292,1.40594,1.37132,0.56801,0.67446,0.67625,0.47167,1.02987,1.94309,1.19534,0.000746161,0.000746161,0.000746161
8,116.123,1.10852,1.36036,1.36085,0.4835,0.69684,0.63341,0.45044,1.00357,1.58422,1.15226,0.000742354,0.000742354,0.000742354
9,128.894,1.09052,1.26534,1.34353,0.736,0.62854,0.83068,0.54619,1.12305,1.77118,1.2221,0.000738548,0.000738548,0.000738548
10,141.763,1.07608,1.2229,1.33557,0.71225,0.85128,0.84889,0.56096,1.08441,1.2654,1.17814,0.000734741,0.000734741,0.000734741
11,154.547,1.07637,1.1887,1.32316,0.59941,0.81151,0.80226,0.57586,0.96146,1.48331,1.14605,0.000730935,0.000730935,0.000730935
12,167.476,1.04618,1.13887,1.31758,0.71029,0.83134,0.8585,0.54775,1.21367,1.1943,1.24658,0.000727128,0.000727128,0.000727128
13,180.253,1.05364,1.12771,1.30716,0.71644,0.75938,0.832,0.57393,1.11618,1.4406,1.22647,0.000723321,0.000723321,0.000723321
14,193.147,1.03201,1.08124,1.28689,0.64035,0.7007,0.77585,0.51052,1.26002,1.82169,1.28188,0.000719515,0.000719515,0.000719515
15,206.06,1.02902,1.07183,1.29554,0.6294,0.68162,0.77018,0.51411,1.16814,1.79788,1.20639,0.000715708,0.000715708,0.000715708
16,219.13,1.02306,1.03084,1.28275,0.65756,0.82277,0.85751,0.59469,1.00985,1.34981,1.16345,0.000711902,0.000711902,0.000711902
17,232.379,1.01198,1.02519,1.28212,0.65855,0.75836,0.81971,0.56578,1.02035,1.4067,1.14188,0.000708095,0.000708095,0.000708095
18,246.495,1.00016,0.98611,1.27113,0.67183,0.83588,0.8559,0.56455,1.12012,1.34725,1.20555,0.000704289,0.000704289,0.000704289
19,260.629,0.98358,0.96289,1.26718,0.65919,0.75425,0.83443,0.54565,1.17729,1.61464,1.23042,0.000700482,0.000700482,0.000700482
20,275.558,0.99006,0.96509,1.26061,0.68569,0.7098,0.84375,0.60978,0.94823,1.74424,1.14715,0.000696676,0.000696676,0.000696676
21,289.01,0.94582,0.91991,1.24359,0.67508,0.73793,0.83375,0.55325,1.15667,1.82101,1.21904,0.000692869,0.000692869,0.000692869
22,302.754,0.99429,0.95301,1.26231,0.75861,0.82859,0.88774,0.67283,0.87594,1.07785,1.08303,0.000689062,0.000689062,0.000689062
23,316.209,0.95329,0.92293,1.23744,0.67265,0.82122,0.86189,0.59829,1.04648,1.32742,1.16159,0.000685256,0.000685256,0.000685256
24,329.352,0.95794,0.92044,1.24877,0.69513,0.82641,0.86571,0.62096,0.93836,1.40336,1.12115,0.000681449,0.000681449,0.000681449
25,342.505,0.9301,0.89972,1.2278,0.60026,0.77798,0.79642,0.55866,1.04354,1.44672,1.14594,0.000677643,0.000677643,0.000677643
26,356.037,0.923,0.87706,1.21865,0.67553,0.78165,0.86954,0.55973,1.19561,1.4575,1.19786,0.000673836,0.000673836,0.000673836
27,369.936,0.92306,0.8536,1.21313,0.68861,0.87372,0.89769,0.60433,1.10042,1.29768,1.18222,0.00067003,0.00067003,0.00067003
28,384.137,0.91288,0.84378,1.20724,0.7495,0.78023,0.87284,0.63748,0.948,1.49759,1.11654,0.000666223,0.000666223,0.000666223
29,398.665,0.89737,0.8445,1.20447,0.70674,0.76511,0.88651,0.67167,0.91251,1.46779,1.10126,0.000662417,0.000662417,0.000662417
30,413.553,0.91187,0.85403,1.21679,0.72195,0.86321,0.90488,0.65561,0.99385,1.13027,1.12512,0.00065861,0.00065861,0.00065861
31,428.618,0.90939,0.83917,1.2117,0.7048,0.79002,0.83138,0.61669,0.95649,1.35762,1.13797,0.000654804,0.000654804,0.000654804
32,443.19,0.88343,0.80435,1.19215,0.73597,0.85021,0.86851,0.6326,0.92812,1.27933,1.09679,0.000650997,0.000650997,0.000650997
33,457.727,0.87613,0.7969,1.19047,0.7788,0.85217,0.91742,0.67902,0.88505,1.17955,1.09043,0.00064719,0.00064719,0.00064719
34,474.788,0.88859,0.79716,1.19815,0.6988,0.75715,0.85447,0.58489,1.13914,1.64613,1.19348,0.000643384,0.000643384,0.000643384
35,490.161,0.86642,0.78631,1.18552,0.73498,0.80002,0.87587,0.64797,0.93702,1.42905,1.13019,0.000639577,0.000639577,0.000639577
36,504.968,0.87108,0.77591,1.17814,0.73606,0.73514,0.90134,0.64817,0.99701,1.46519,1.15222,0.000635771,0.000635771,0.000635771
37,520.597,0.86351,0.79728,1.18286,0.69598,0.78311,0.88007,0.62946,1.02367,1.6365,1.18222,0.000631964,0.000631964,0.000631964
38,534.629,0.86364,0.77522,1.17854,0.75731,0.85015,0.88913,0.64476,0.98125,1.34006,1.12962,0.000628158,0.000628158,0.000628158
39,548.695,0.83634,0.75587,1.15901,0.75009,0.79422,0.85249,0.61868,0.99477,1.28336,1.13106,0.000624351,0.000624351,0.000624351
40,562.826,0.84139,0.74388,1.17081,0.76354,0.85224,0.87537,0.63955,0.95918,1.19779,1.09866,0.000620545,0.000620545,0.000620545
41,576.964,0.83969,0.73881,1.16614,0.77516,0.80069,0.8839,0.666,0.88396,1.36614,1.09969,0.000616738,0.000616738,0.000616738
42,590.886,0.8223,0.72843,1.15578,0.73256,0.82567,0.90909,0.66351,1.01732,1.41747,1.14257,0.000612931,0.000612931,0.000612931
43,604.43,0.81702,0.71745,1.15674,0.83025,0.76299,0.90749,0.66586,0.92316,1.09108,1.08336,0.000609125,0.000609125,0.000609125
44,618.135,0.8142,0.72201,1.15844,0.76469,0.83491,0.90148,0.69755,0.88672,1.34059,1.08558,0.000605318,0.000605318,0.000605318
45,632.205,0.8118,0.7123,1.14515,0.7307,0.72645,0.80226,0.59209,1.04562,2.03062,1.17341,0.000601512,0.000601512,0.000601512
46,646.169,0.81349,0.705,1.1494,0.81789,0.78394,0.8914,0.68115,0.89213,1.4352,1.1031,0.000597705,0.000597705,0.000597705
47,660.063,0.80483,0.70442,1.15189,0.68911,0.72493,0.8156,0.58743,1.03361,1.68149,1.14604,0.000593899,0.000593899,0.000593899
48,673.809,0.80284,0.68896,1.14297,0.78236,0.87894,0.88728,0.6559,0.91946,1.11036,1.09651,0.000590092,0.000590092,0.000590092
